workerid,noun,gender,nounclass,slide_number,predicate2,predicate1,class2,response,class1,test1,dialect,test3,lived,language,enjoyment,gender,age,describe,comments,years,proficiency,asses,test2,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,desk,masculine,furniture,3,metal,soft,material,0.69,texture,correct,levantine,correct,both,YES,0,Male,YES,arabic-english,GOOD,1,advanced,Yes,incorrect,1,Windows,900,1600,Chrome,388FBO7JZROL4BO6VRABOIJ9HXHYNO,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:28:20 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:28:20 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=388FBO7JZROL4BO6VRABOIJ9HXHYNO,340UGXU9DZXKIRB3EJ4FKX3XF3MVUR,0,Approved,Fri Feb 15 01:26:26 PST 2019,Thu Feb 14 08:42:37 PST 2019,Thu Feb 14 08:46:26 PST 2019,Fri Feb 15 01:27:20 PST 2019,,,,,[],1.7468666666666666
0,chair,masculine,furniture,4,blue,old,color,0.65,age,correct,levantine,correct,both,YES,0,Male,YES,arabic-english,GOOD,1,advanced,Yes,incorrect,1,Windows,900,1600,Chrome,388FBO7JZROL4BO6VRABOIJ9HXHYNO,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:28:20 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:28:20 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=388FBO7JZROL4BO6VRABOIJ9HXHYNO,340UGXU9DZXKIRB3EJ4FKX3XF3MVUR,0,Approved,Fri Feb 15 01:26:26 PST 2019,Thu Feb 14 08:42:37 PST 2019,Thu Feb 14 08:46:26 PST 2019,Fri Feb 15 01:27:20 PST 2019,,,,,[],1.7468666666666666
0,desk,masculine,furniture,5,huge,purple,size,0.73,color,correct,levantine,correct,both,YES,0,Male,YES,arabic-english,GOOD,1,advanced,Yes,incorrect,1,Windows,900,1600,Chrome,388FBO7JZROL4BO6VRABOIJ9HXHYNO,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:28:20 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:28:20 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=388FBO7JZROL4BO6VRABOIJ9HXHYNO,340UGXU9DZXKIRB3EJ4FKX3XF3MVUR,0,Approved,Fri Feb 15 01:26:26 PST 2019,Thu Feb 14 08:42:37 PST 2019,Thu Feb 14 08:46:26 PST 2019,Fri Feb 15 01:27:20 PST 2019,,,,,[],1.7468666666666666
0,chair,masculine,furniture,6,long,soft,size,0.73,texture,correct,levantine,correct,both,YES,0,Male,YES,arabic-english,GOOD,1,advanced,Yes,incorrect,1,Windows,900,1600,Chrome,388FBO7JZROL4BO6VRABOIJ9HXHYNO,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:28:20 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:28:20 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=388FBO7JZROL4BO6VRABOIJ9HXHYNO,340UGXU9DZXKIRB3EJ4FKX3XF3MVUR,0,Approved,Fri Feb 15 01:26:26 PST 2019,Thu Feb 14 08:42:37 PST 2019,Thu Feb 14 08:46:26 PST 2019,Fri Feb 15 01:27:20 PST 2019,,,,,[],1.7468666666666666
0,TV,masculine,furniture,7,old,plastic,age,0.75,material,correct,levantine,correct,both,YES,0,Male,YES,arabic-english,GOOD,1,advanced,Yes,incorrect,1,Windows,900,1600,Chrome,388FBO7JZROL4BO6VRABOIJ9HXHYNO,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:28:20 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:28:20 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=388FBO7JZROL4BO6VRABOIJ9HXHYNO,340UGXU9DZXKIRB3EJ4FKX3XF3MVUR,0,Approved,Fri Feb 15 01:26:26 PST 2019,Thu Feb 14 08:42:37 PST 2019,Thu Feb 14 08:46:26 PST 2019,Fri Feb 15 01:27:20 PST 2019,,,,,[],1.7468666666666666
0,apple,feminine,food,8,smooth,purple,texture,0.76,color,correct,levantine,correct,both,YES,0,Male,YES,arabic-english,GOOD,1,advanced,Yes,incorrect,1,Windows,900,1600,Chrome,388FBO7JZROL4BO6VRABOIJ9HXHYNO,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:28:20 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:28:20 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=388FBO7JZROL4BO6VRABOIJ9HXHYNO,340UGXU9DZXKIRB3EJ4FKX3XF3MVUR,0,Approved,Fri Feb 15 01:26:26 PST 2019,Thu Feb 14 08:42:37 PST 2019,Thu Feb 14 08:46:26 PST 2019,Fri Feb 15 01:27:20 PST 2019,,,,,[],1.7468666666666666
0,apple,feminine,food,9,square,yellow,shape,0.82,color,correct,levantine,correct,both,YES,0,Male,YES,arabic-english,GOOD,1,advanced,Yes,incorrect,1,Windows,900,1600,Chrome,388FBO7JZROL4BO6VRABOIJ9HXHYNO,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:28:20 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:28:20 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=388FBO7JZROL4BO6VRABOIJ9HXHYNO,340UGXU9DZXKIRB3EJ4FKX3XF3MVUR,0,Approved,Fri Feb 15 01:26:26 PST 2019,Thu Feb 14 08:42:37 PST 2019,Thu Feb 14 08:46:26 PST 2019,Fri Feb 15 01:27:20 PST 2019,,,,,[],1.7468666666666666
0,tomato,feminine,food,10,round,small,shape,0.6,size,correct,levantine,correct,both,YES,0,Male,YES,arabic-english,GOOD,1,advanced,Yes,incorrect,1,Windows,900,1600,Chrome,388FBO7JZROL4BO6VRABOIJ9HXHYNO,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:28:20 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:28:20 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=388FBO7JZROL4BO6VRABOIJ9HXHYNO,340UGXU9DZXKIRB3EJ4FKX3XF3MVUR,0,Approved,Fri Feb 15 01:26:26 PST 2019,Thu Feb 14 08:42:37 PST 2019,Thu Feb 14 08:46:26 PST 2019,Fri Feb 15 01:27:20 PST 2019,,,,,[],1.7468666666666666
0,desk,masculine,furniture,11,rotten,brown,age,0.74,color,correct,levantine,correct,both,YES,0,Male,YES,arabic-english,GOOD,1,advanced,Yes,incorrect,1,Windows,900,1600,Chrome,388FBO7JZROL4BO6VRABOIJ9HXHYNO,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:28:20 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:28:20 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=388FBO7JZROL4BO6VRABOIJ9HXHYNO,340UGXU9DZXKIRB3EJ4FKX3XF3MVUR,0,Approved,Fri Feb 15 01:26:26 PST 2019,Thu Feb 14 08:42:37 PST 2019,Thu Feb 14 08:46:26 PST 2019,Fri Feb 15 01:27:20 PST 2019,,,,,[],1.7468666666666666
0,desk,masculine,furniture,12,hard,new,texture,0.75,age,correct,levantine,correct,both,YES,0,Male,YES,arabic-english,GOOD,1,advanced,Yes,incorrect,1,Windows,900,1600,Chrome,388FBO7JZROL4BO6VRABOIJ9HXHYNO,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:28:20 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:28:20 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=388FBO7JZROL4BO6VRABOIJ9HXHYNO,340UGXU9DZXKIRB3EJ4FKX3XF3MVUR,0,Approved,Fri Feb 15 01:26:26 PST 2019,Thu Feb 14 08:42:37 PST 2019,Thu Feb 14 08:46:26 PST 2019,Fri Feb 15 01:27:20 PST 2019,,,,,[],1.7468666666666666
0,banana,feminine,food,13,bad,new,quality,0.77,age,correct,levantine,correct,both,YES,0,Male,YES,arabic-english,GOOD,1,advanced,Yes,incorrect,1,Windows,900,1600,Chrome,388FBO7JZROL4BO6VRABOIJ9HXHYNO,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:28:20 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:28:20 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=388FBO7JZROL4BO6VRABOIJ9HXHYNO,340UGXU9DZXKIRB3EJ4FKX3XF3MVUR,0,Approved,Fri Feb 15 01:26:26 PST 2019,Thu Feb 14 08:42:37 PST 2019,Thu Feb 14 08:46:26 PST 2019,Fri Feb 15 01:27:20 PST 2019,,,,,[],1.7468666666666666
0,apple,feminine,food,14,square,purple,shape,0.71,color,correct,levantine,correct,both,YES,0,Male,YES,arabic-english,GOOD,1,advanced,Yes,incorrect,1,Windows,900,1600,Chrome,388FBO7JZROL4BO6VRABOIJ9HXHYNO,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:28:20 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:28:20 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=388FBO7JZROL4BO6VRABOIJ9HXHYNO,340UGXU9DZXKIRB3EJ4FKX3XF3MVUR,0,Approved,Fri Feb 15 01:26:26 PST 2019,Thu Feb 14 08:42:37 PST 2019,Thu Feb 14 08:46:26 PST 2019,Fri Feb 15 01:27:20 PST 2019,,,,,[],1.7468666666666666
0,TV,masculine,furniture,15,wooden,blue,material,0.78,color,correct,levantine,correct,both,YES,0,Male,YES,arabic-english,GOOD,1,advanced,Yes,incorrect,1,Windows,900,1600,Chrome,388FBO7JZROL4BO6VRABOIJ9HXHYNO,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:28:20 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:28:20 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=388FBO7JZROL4BO6VRABOIJ9HXHYNO,340UGXU9DZXKIRB3EJ4FKX3XF3MVUR,0,Approved,Fri Feb 15 01:26:26 PST 2019,Thu Feb 14 08:42:37 PST 2019,Thu Feb 14 08:46:26 PST 2019,Fri Feb 15 01:27:20 PST 2019,,,,,[],1.7468666666666666
0,banana,feminine,food,16,red,small,color,0.73,size,correct,levantine,correct,both,YES,0,Male,YES,arabic-english,GOOD,1,advanced,Yes,incorrect,1,Windows,900,1600,Chrome,388FBO7JZROL4BO6VRABOIJ9HXHYNO,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:28:20 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:28:20 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=388FBO7JZROL4BO6VRABOIJ9HXHYNO,340UGXU9DZXKIRB3EJ4FKX3XF3MVUR,0,Approved,Fri Feb 15 01:26:26 PST 2019,Thu Feb 14 08:42:37 PST 2019,Thu Feb 14 08:46:26 PST 2019,Fri Feb 15 01:27:20 PST 2019,,,,,[],1.7468666666666666
0,couch,feminine,furniture,17,long,wooden,size,0.82,material,correct,levantine,correct,both,YES,0,Male,YES,arabic-english,GOOD,1,advanced,Yes,incorrect,1,Windows,900,1600,Chrome,388FBO7JZROL4BO6VRABOIJ9HXHYNO,3JD5BATOXQQHM4992P8TTKAZE71V3C,عبارات عربية وصفية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Thu Feb 14 08:28:20 PST 2019,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 16 09:28:20 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=388FBO7JZROL4BO6VRABOIJ9HXHYNO,340UGXU9DZXKIRB3EJ4FKX3XF3MVUR,0,Approved,Fri Feb 15 01:26:26 PST 2019,Thu Feb 14 08:42:37 PST 2019,Thu Feb 14 08:46:26 PST 2019,Fri Feb 15 01:27:20 PST 2019,,,,,[],1.7468666666666666
